id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2136,TON,2023
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,125,TON,2023
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,360,TON,2023
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,315,TON,2023
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,399,TON,2023
289,32,JAWA BARAT,3271,KOTA BOGOR,8,TON,2023
290,32,JAWA BARAT,3272,KOTA SUKABUMI,608,TON,2023
291,32,JAWA BARAT,3273,KOTA BANDUNG,4,TON,2023
292,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2023
293,32,JAWA BARAT,3275,KOTA BEKASI,167,TON,2023
294,32,JAWA BARAT,3276,KOTA DEPOK,69,TON,2023
295,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2023
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,247,TON,2023
297,32,JAWA BARAT,3279,KOTA BANJAR,63,TON,2023
